TravelTime,PartTimeJob,Relationship,Father's_education,Mother's_education,StudyHours,AttendenceLecs,Concentrate,Friends,SocialMediaTime,extra curricular,StudyPattern,Marks
3,0,0,1,1,2,1,1,1,3,1,1,80 to 89
3,0,1,1,2,3,1,1,1,2,1,1,80 to 89
4,0,0,3,2,2,2,1,0,3,0,2,60 to 69
3,0,1,1,2,4,1,1,1,2,1,1,80 to 89
2,0,0,2,1,2,2,1,0,4,0,2,70 to 79
4,0,0,1,1,3,2,1,1,3,0,2,60 to 69
3,0,0,1,1,4,2,2,1,3,1,2,70 to 79
3,0,0,2,2,2,2,1,0,3,1,1,70 to 79
2,0,1,2,2,4,1,1,1,3,0,2,60 to 69
3,0,0,1,1,2,2,2,1,2,0,2,70 to 79
4,0,0,2,2,3,2,2,1,3,1,1,70 to 79
2,0,1,1,2,3,2,1,1,3,0,2,70 to 79
1,0,0,1,1,4,2,1,1,2,0,1,80 to 89
2,0,0,1,2,2,2,2,1,3,1,1,80 to 89
3,0,0,2,2,3,2,1,1,3,0,2,70 to 79
2,0,1,1,2,5,2,1,1,3,0,2,70 to 79
1,0,0,2,2,4,2,1,1,3,0,2,70 to 79
3,0,1,1,1,3,1,1,1,3,0,2,80 to 89
1,0,0,1,1,1,1,1,0,2,0,2,60 to 69
2,0,0,1,2,4,1,1,1,2,0,1,70 to 79
4,0,0,1,2,3,2,1,1,2,1,2,80 to 89
3,1,0,2,2,3,2,3,1,1,1,1,80 to 89
2,0,0,2,1,2,1,1,1,3,0,2,80 to 89
4,0,1,1,1,2,2,1,1,3,0,2,60 to 69
3,1,0,2,2,2,2,2,1,3,1,2,60 to 69
3,1,0,1,1,4,2,1,1,3,0,2,80 to 89
2,0,1,1,1,3,1,1,1,3,1,2,80 to 89
1,0,0,1,2,1,2,1,1,3,0,2,90 to 100
3,0,1,1,2,4,2,3,1,2,1,1,70 to 79
1,1,1,1,1,1,1,1,1,2,1,2,60 to 69
3,0,1,1,1,3,1,1,1,2,0,2,80 to 89
4,0,0,1,2,3,1,1,1,3,0,2,80 to 89
2,0,0,1,2,3,1,1,1,3,1,2,80 to 89
4,0,0,1,2,3,1,1,1,3,1,1,80 to 89
2,0,0,1,1,4,2,2,1,2,0,2,80 to 89
2,0,0,1,1,2,2,1,1,3,1,2,80 to 89
4,0,0,2,2,3,2,2,1,3,0,1,70 to 79
4,0,0,2,2,1,1,1,1,3,0,2,70 to 79
4,0,0,2,2,4,2,2,1,1,0,1,90 to 100
4,0,0,1,1,4,2,2,1,3,0,1,60 to 69
2,1,1,1,2,3,2,2,1,3,0,1,90 to 100
4,1,1,2,2,2,2,1,1,1,0,2,70 to 79
2,0,0,3,2,3,2,1,0,3,0,2,80 to 89
3,1,1,1,1,3,2,2,1,2,1,2,60 to 69
2,0,1,2,2,4,2,2,1,1,1,2,70 to 79
3,0,1,2,2,1,2,1,1,3,1,2,80 to 89
3,1,1,1,1,3,2,2,1,1,0,2,20 to 29
1,1,1,2,2,2,1,1,1,2,1,1,90 to 100
4,0,0,2,2,2,2,1,1,3,1,1,70 to 79
2,1,0,1,1,4,1,1,0,2,1,1,90 to 100
2,1,0,1,2,3,2,2,1,3,1,1,80 to 89
2,1,0,1,2,2,2,1,1,1,0,1,70 to 79
4,0,0,2,2,3,1,1,1,2,0,2,60 to 69
1,0,0,2,2,4,2,1,1,3,1,2,80 to 89
2,0,0,1,1,2,2,1,1,3,0,2,70 to 79
